,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
1020,1009,PG-13,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,"['drama', 'romance']",tm178513,tt2797242,6.6,5402.0,['IN'],2013,127,,Bombay Talkies,190940,4.389,6.5,MOVIE,11000000.0,2700000.0,-8300000.0
1021,880,PG-13,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.","['comedy', 'horror']",tm178712,tt0795461,3.5,71405.0,['US'],2013,89,,Scary Movie 5,4258,122.985,4.8,MOVIE,20000000.0,78378744.0,58378744.0
1026,737,,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.","['thriller', 'comedy', 'drama']",tm179451,tt1629376,6.2,5969.0,['IN'],2011,148,,7 Khoon Maaf,56338,5.469,6.3,MOVIE,2200000.0,2900000.0,700000.0
1027,800,PG-13,Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,"['drama', 'thriller', 'action', 'crime']",tm180532,tt1836912,7.2,8475.0,['IN'],2011,121,,Shaitan,69785,4.098,6.4,MOVIE,1700000.0,6100000.0,4400000.0
1028,38,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","['crime', 'drama', 'european']",tm180542,tt0087843,8.3,345714.0,"['US', 'IT']",1984,139,,Once Upon a Time in America,311,28.937,8.453,MOVIE,30000000.0,5472914.0,-24527086.0
1029,865,PG-13,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,"['horror', 'thriller']",tm180572,tt2226417,6.5,169039.0,['US'],2013,106,,Insidious: Chapter 2,91586,68.55,6.7,MOVIE,5000000.0,161000000.0,156000000.0
1034,899,R,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.","['drama', 'history', 'european', 'romance', 'war']",tm181081,tt2058107,7.1,40175.0,"['AU', 'CH', 'GB']",2013,116,,The Railway Man,127560,8.518,6.9,MOVIE,18000000.0,24174885.0,6174885.0
1036,896,R,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"['thriller', 'crime', 'drama']",tm181270,tt2005374,6.4,62972.0,['US'],2013,105,,The Frozen Ground,199373,10.449,6.3,MOVIE,27220000.0,5496951.0,-21723049.0
1040,721,PG,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?","['romance', 'drama', 'comedy']",tm182125,tt1562872,8.1,76565.0,['IN'],2011,166,,Zindagi Na Milegi Dobara,61202,11.997,7.6,MOVIE,7700000.0,160000000.0,152300000.0
1041,143,PG,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.","['comedy', 'family', 'action', 'sport']",tm1822,tt0109015,4.5,9321.0,"['JP', 'US']",1994,93,,3 Ninjas Kick Back,18885,12.603,5.5,MOVIE,20000000.0,11798854.0,-8201146.0
