,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
2,369,PG-13,"A seasoned team of bank robbers, including Gordon Jennings, John Rahway, A.J., and brothers Jake and Jesse Attica successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost, a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer inches closer to apprehending the criminals.","['action', 'crime', 'drama', 'thriller']",tm100015,tt1135084,6.2,62464.0,['US'],2010,107,,Takers,22907,15.872,6.228,MOVIE,32000000.0,80205382.0,48205382.0
34,4914,R,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","['romance', 'drama']",tm1003630,tt13069986,4.6,13221.0,"['FR', 'US']",2021,99,,After We Fell,744275,341.558,7.2,MOVIE,14000000.0,21500000.0,7500000.0
50,339,R,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.","['crime', 'action', 'comedy', 'thriller']",tm101249,tt1385867,5.5,88026.0,['US'],2010,107,,Cop Out,23742,13.63,5.6,MOVIE,30000000.0,55583804.0,25583804.0
52,355,R,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.","['comedy', 'drama']",tm101334,tt1321509,5.7,49901.0,['US'],2010,92,,Death at a Funeral,34803,15.989,5.8,MOVIE,21000000.0,49050886.0,28050886.0
93,5451,PG-13,"In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.","['action', 'fantasy']",tm1022893,tt7587604,4.7,2146.0,"['NZ', 'HK']",2021,118,,Dynasty Warriors,525660,165.339,6.4,MOVIE,38504400.0,3310000.0,-35194400.0
96,304,R,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.","['horror', 'thriller', 'crime', 'drama']",tm102337,tt1179056,5.2,99894.0,['US'],2010,95,,A Nightmare on Elm Street,23437,39.672,5.5,MOVIE,35000000.0,115664037.0,80664037.0
124,562,PG,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.","['drama', 'comedy']",tm102848,tt1447508,7.4,12309.0,['IN'],2010,104,,Peepli Live,44549,3.404,7.3,MOVIE,2270000.0,6900000.0,4630000.0
136,353,R,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.","['drama', 'action', 'history', 'sport']",tm103095,tt1386932,7.5,104500.0,"['HK', 'CN']",2010,108,,Ip Man 2,37472,4.516,7.5,MOVIE,12902809.0,36000000.0,23097191.0
140,512,PG,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.","['thriller', 'romance', 'drama']",tm103133,tt1373156,7.1,12114.0,['IN'],2010,135,,Karthik Calling Karthik,34764,7.725,6.3,MOVIE,2800000.0,3900000.0,1100000.0
161,402,R,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",['drama'],tm103732,tt1639426,8.1,44862.0,['IN'],2010,138,,Udaan,45316,5.019,7.3,MOVIE,800000.0,520000.0,-280000.0
244,253,R,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.","['thriller', 'documentation', 'drama', 'crime']",tm105329,tt0257044,7.7,265216.0,['US'],2002,117,,Road to Perdition,4147,18.739,7.4,MOVIE,80000000.0,181001478.0,101001478.0
255,688,R,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.","['romance', 'comedy', 'drama']",tm106278,tt1531663,6.4,50792.0,['US'],2011,97,,Everything Must Go,45658,9.825,6.1,MOVIE,5000000.0,2614773.0,-2385227.0
297,142,R,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.","['action', 'drama', 'scifi', 'thriller']",tm10739,tt0113481,5.6,71563.0,"['CA', 'US']",1995,97,,Johnny Mnemonic,9886,10.75,5.7,MOVIE,25000000.0,19075720.0,-5924280.0
310,92,PG-13,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","['thriller', 'action']",tm107744,tt0117060,7.1,420673.0,['US'],1996,110,,Mission: Impossible,954,41.115,6.9,MOVIE,80000000.0,457731198.0,377731198.0
430,128,R,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.","['thriller', 'action', 'drama', 'crime']",tm111163,tt0116213,6.1,110921.0,"['US', 'CA']",1996,115,,Eraser,9268,19.437,6.0,MOVIE,100000000.0,242295562.0,142295562.0
443,311,R,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away.","['comedy', 'romance']",tm111600,tt0253867,5.1,58884.0,['US'],2002,84,,The Sweetest Thing,11812,10.625,5.5,MOVIE,43000000.0,68696770.0,25696770.0
449,226,PG-13,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.","['drama', 'crime']",tm111828,tt0264464,8.1,952602.0,['US'],2002,141,,Catch Me If You Can,640,72.321,8.0,MOVIE,52000000.0,352114312.0,300114312.0
502,106,PG-13,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",['comedy'],tm113513,tt0109686,7.3,379999.0,['US'],1994,107,,Dumb and Dumber,8467,31.852,6.6,MOVIE,16000000.0,247275374.0,231275374.0
503,132,PG,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.","['drama', 'romance', 'family']",tm113576,tt0110367,7.3,58178.0,['US'],1994,115,,Little Women,9587,13.683,7.314,MOVIE,18000000.0,50083616.0,32083616.0
529,374,G,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.","['animation', 'comedy', 'family', 'action', 'fantasy']",tm114476,tt0243585,5.5,54193.0,['US'],2002,78,,Stuart Little 2,10996,36.691,5.733,MOVIE,120000000.0,169956806.0,49956806.0
531,563,,"Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.","['crime', 'drama', 'history', 'action']",tm114504,tt0319736,8.1,16340.0,['IN'],2002,155,,The Legend of Bhagat Singh,31525,3.79,6.9,MOVIE,3000000.0,6000000.0,3000000.0
549,112,R,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.","['action', 'thriller', 'western', 'romance']",tm11556,tt0114214,6.5,93767.0,"['JP', 'US']",1995,107,,The Quick and the Dead,12106,13.056,6.5,MOVIE,32000000.0,18636537.0,-13363463.0
567,291,R,"Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time. They wander around Japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving LIVE alligators, and so on.","['comedy', 'documentation', 'action']",tm116324,tt0322802,6.6,94423.0,['US'],2002,88,,Jackass: The Movie,9012,25.23,6.3,MOVIE,5000000.0,64282312.0,59282312.0
569,111,R,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,"['thriller', 'drama', 'crime', 'action']",tm116488,tt0110632,7.3,11.0,['US'],1994,118,,Natural Born Killers,241,21.933,7.1,MOVIE,34000000.0,50283563.0,16283563.0
583,109,R,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","['crime', 'drama', 'action', 'thriller', 'european']",tm116655,tt0110413,8.5,1137357.0,"['US', 'FR']",1994,111,,Léon: The Professional,101,51.406,8.323,MOVIE,16000000.0,45284974.0,29284974.0
594,152,PG,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.","['action', 'drama', 'family', 'sport', 'romance']",tm117488,tt0110657,4.5,30422.0,['US'],1994,107,,The Next Karate Kid,11231,20.185,5.318,MOVIE,12000000.0,15876353.0,3876353.0
597,52,R,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.","['romance', 'comedy']",tm117580,tt0091939,6.7,14472.0,['US'],1986,84,,She's Gotta Have It,27995,7.416,6.707,MOVIE,175000.0,7137503.0,6962503.0
613,127,PG-13,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.","['western', 'crime', 'action', 'drama']",tm118238,tt0111756,6.7,50774.0,['US'],1994,191,,Wyatt Earp,12160,14.677,6.751,MOVIE,63000000.0,25052000.0,-37948000.0
617,377,PG-13,"A man goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there, he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.","['thriller', 'action', 'crime', 'european']",tm118462,tt0297162,4.6,15740.0,"['DE', 'US']",2002,98,,Half Past Dead,10167,12.906,5.2,MOVIE,25000000.0,19233280.0,-5766720.0
626,315,PG-13,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.","['drama', 'thriller', 'crime']",tm118637,tt0251160,7.0,133215.0,['US'],2002,116,,John Q,8470,32.229,7.121,MOVIE,36000000.0,102244770.0,66244770.0
634,8,R,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","['crime', 'drama', 'action']",tm119281,tt0061418,7.7,112048.0,['US'],1967,110,,Bonnie and Clyde,475,15.687,7.5,MOVIE,2500000.0,50700000.0,48200000.0
649,1186,PG,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","['action', 'animation', 'family', 'fantasy', 'drama', 'comedy']",tm120108,tt2267968,7.1,155678.0,"['US', 'CN']",2016,95,,Kung Fu Panda 3,140300,91.033,6.851,MOVIE,145000000.0,521170825.0,376170825.0
651,1167,PG-13,"When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.","['comedy', 'drama', 'music']",tm120609,tt0475290,6.3,133837.0,['US'],2016,106,,"Hail, Caesar!",270487,11.125,5.9,MOVIE,22000000.0,63647656.0,41647656.0
652,4,,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.","['war', 'action']",tm120801,tt0061578,7.7,72662.0,"['GB', 'US']",1967,150,,The Dirty Dozen,1654,20.398,7.6,MOVIE,5400000.0,45300000.0,39900000.0
657,122,PG,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",['drama'],tm121879,tt0105265,7.2,59854.0,['US'],1992,123,,A River Runs Through It,293,19.58,7.1,MOVIE,12000000.0,43440294.0,31440294.0
663,97,PG-13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","['drama', 'romance']",tm122434,tt0109830,8.8,2021343.0,['US'],1994,142,,Forrest Gump,13,63.449,8.478,MOVIE,55000000.0,677387716.0,622387716.0
669,1355,PG-13,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.","['history', 'drama', 'fantasy']",tm123789,tt1002563,5.6,3576.0,['US'],2016,120,,The Young Messiah,318850,22.159,6.3,MOVIE,18500000.0,6490401.0,-12009599.0
670,139,PG-13,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.","['thriller', 'action', 'crime', 'drama']",tm12499,tt0113957,5.9,66667.0,['US'],1995,114,,The Net,1642,15.935,6.0,MOVIE,22000000.0,110627965.0,88627965.0
673,3,PG,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","['fantasy', 'action', 'comedy']",tm127384,tt0071853,8.2,534486.0,['GB'],1975,91,,Monty Python and the Holy Grail,762,15.461,7.811,MOVIE,400000.0,1940906.0,1540906.0
677,502,,"Not wanting the same fate as befell her sisters, Sona Mishra re-locates to Mumbai to try to make a living making movies, but she soon finds that the path she has chosen is not an easy one.","['romance', 'drama', 'comedy']",tm129971,tt0886539,7.1,10272.0,['IN'],2009,155,,Luck by Chance,16344,4.932,6.5,MOVIE,2300000.0,3000000.0,700000.0
679,373,PG-13,"In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.","['comedy', 'drama', 'romance']",tm130574,tt1314228,4.9,40551.0,['US'],2009,103,,Did You Hear About the Morgans?,24438,12.459,5.4,MOVIE,58000000.0,85280250.0,27280250.0
682,273,R,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.","['action', 'crime', 'drama', 'history', 'european']",tm131038,tt1152836,7.0,300773.0,"['US', 'JP']",2009,140,,Public Enemies,11322,85.039,6.7,MOVIE,100000000.0,214104620.0,114104620.0
684,1201,PG,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.","['family', 'fantasy', 'comedy', 'animation', 'scifi']",tm132273,tt2224026,6.6,101975.0,['US'],2015,94,,Home,228161,50.179,6.8,MOVIE,135000000.0,368871007.0,233871007.0
685,41,PG,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.","['comedy', 'drama', 'romance']",tm133087,tt0098384,7.3,54946.0,['US'],1989,119,,Steel Magnolias,10860,11.69,7.2,MOVIE,15000000.0,95904091.0,80904091.0
686,264,PG-13,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.","['drama', 'sport']",tm133374,tt0878804,7.6,327675.0,['US'],2009,129,,The Blind Side,22881,63.663,7.661,MOVIE,29000000.0,309208309.0,280208309.0
687,260,R,"'Love Actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before Christmas in London, England.","['drama', 'comedy', 'romance']",tm133767,tt0314331,7.6,476101.0,"['GB', 'US']",2003,135,,Love Actually,508,36.484,7.1,MOVIE,40000000.0,244931766.0,204931766.0
692,511,PG-13,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.","['comedy', 'drama', 'romance']",tm134407,tt1327035,7.9,30567.0,['IN'],2009,141,,Dev.D,15977,7.069,6.9,MOVIE,1700000.0,7600000.0,5900000.0
694,1223,R,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.","['thriller', 'horror', 'drama']",tm134791,tt3713166,5.5,73854.0,['US'],2015,82,,Unfriended,277685,26.429,5.5,MOVIE,1000000.0,62882090.0,61882090.0
695,851,PG,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.","['action', 'animation', 'comedy', 'family', 'fantasy']",tm134967,tt1646971,7.8,330975.0,['US'],2014,102,,How to Train Your Dragon 2,82702,134.7,7.67,MOVIE,145000000.0,621537500.0,476537500.0
698,1139,R,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"['action', 'crime', 'thriller']",tm135307,tt2717822,5.4,58192.0,['US'],2015,133,,Blackhat,201088,38.675,5.5,MOVIE,70000000.0,17752940.0,-52247060.0
700,1276,R,"Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in one quiet, seaside town they begin to draw close to some of its more vibrant inhabitants, such as a local bar/café-keeper and a hotel owner.","['drama', 'romance', 'european']",tm135543,tt3883986,5.3,20541.0,"['US', 'FR', 'MT']",2015,122,,By the Sea,314385,10.203,5.6,MOVIE,10000000.0,3727746.0,-6272254.0
702,1286,PG-13,Based on true events about the foot soldiers of the early feminist movement who were forced underground to evade the State.,"['drama', 'history']",tm136061,tt3077214,6.9,41983.0,"['GB', 'FR']",2015,106,,Suffragette,245168,12.013,7.3,MOVIE,14000000.0,16002420.0,2002420.0
703,1254,R,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.","['drama', 'war']",tm136257,tt1365050,7.7,80750.0,"['GH', 'US']",2015,137,,Beasts of No Nation,283587,10.424,7.6,MOVIE,6000000.0,9077700.0,3077700.0
704,279,R,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the United States' first female serial killer.","['crime', 'drama', 'thriller', 'european']",tm136308,tt0340855,7.3,150339.0,['US'],2003,110,,Monster,504,16.309,7.2,MOVIE,8000000.0,60378584.0,52378584.0
706,1221,PG-13,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.","['comedy', 'romance']",tm136483,tt1666801,6.4,93675.0,['US'],2015,101,,The DUFF,272693,26.748,6.8,MOVIE,8500000.0,43528634.0,35028634.0
708,266,R,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",['thriller'],tm136808,tt0309698,7.3,240433.0,['US'],2003,90,,Identity,2832,19.558,7.181,MOVIE,28000000.0,90259536.0,62259536.0
709,1173,,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","['action', 'drama', 'fantasy']",tm137002,tt2631186,8.0,120110.0,['IN'],2015,158,,Bāhubali: The Beginning,256040,57.23,7.6,MOVIE,25130430.0,90747520.0,65617090.0
711,322,R,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.","['war', 'action', 'drama', 'thriller']",tm137342,tt0314353,6.6,121957.0,['US'],2003,121,,Tears of the Sun,9567,43.254,6.797,MOVIE,75000000.0,86468162.0,11468162.0
712,319,R,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.","['horror', 'crime']",tm137362,tt0324216,6.2,141736.0,['US'],2003,98,,The Texas Chainsaw Massacre,9373,80.47,6.2,MOVIE,9500000.0,107363905.0,97863905.0
714,1170,R,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.","['horror', 'thriller', 'romance', 'fantasy', 'drama']",tm137693,tt2554274,6.5,146073.0,['US'],2015,119,,Crimson Peak,201085,27.654,6.64,MOVIE,55000000.0,74679822.0,19679822.0
718,1199,R,"New Line Cinema's supernatural thriller The Conjuring 2, with James Wan (Furious 7) once again at the helm following the record-breaking success of The Conjuring, brings to the screen another real case from the files of renowned demonologists Ed and Lorraine Warren. Reprising their roles, Oscar nominee Vera Farmiga (Up In the Air, TV's Bates Motel) and Patrick Wilson (the Insidious films), star as Lorraine and Ed Warren, who, in one of their most terrifying paranormal investigations, travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.","['horror', 'thriller', 'drama']",tm138297,tt3065204,7.3,264195.0,['US'],2016,134,,The Conjuring 2,259693,171.724,7.283,MOVIE,40000000.0,320392818.0,280392818.0
726,39,R,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","['comedy', 'romance', 'drama']",tm138875,tt0098635,7.7,216199.0,['US'],1989,96,,When Harry Met Sally...,639,15.123,7.4,MOVIE,16000000.0,92823546.0,76823546.0
728,1143,R,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"['thriller', 'western', 'drama', 'crime']",tm138905,tt3460252,7.8,570138.0,['US'],2015,188,,The Hateful Eight,273248,26.531,7.737,MOVIE,44000000.0,155760117.0,111760117.0
729,1320,PG,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.","['animation', 'family', 'action', 'comedy', 'scifi', 'fantasy']",tm139194,tt2865120,5.5,10919.0,"['CA', 'US']",2016,94,,Ratchet & Clank,234004,22.825,5.8,MOVIE,20000000.0,8821329.0,-11178671.0
736,255,PG-13,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.","['action', 'fantasy', 'drama', 'romance']",tm139658,tt0319061,8.0,437650.0,['US'],2003,125,,Big Fish,587,21.158,7.769,MOVIE,70000000.0,123218424.0,53218424.0
737,1178,R,A young mother and her twin sons move into a rural house that's marked for death.,"['horror', 'thriller']",tm139841,tt2752772,5.3,54305.0,"['US', 'CA', 'GB']",2015,97,,Sinister 2,283445,34.866,5.8,MOVIE,10000000.0,53329150.0,43329150.0
743,916,PG-13,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.","['thriller', 'scifi', 'horror', 'action', 'fantasy']",tm140342,tt1418377,5.1,80985.0,"['AU', 'US']",2014,92,,"I, Frankenstein",100241,22.094,5.3,MOVIE,65000000.0,76801179.0,11801179.0
744,840,PG,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.","['comedy', 'family', 'fantasy', 'animation', 'european']",tm140389,tt1109624,7.2,113735.0,"['US', 'FR', 'GB']",2014,95,,Paddington,116149,34.868,7.1,MOVIE,55000000.0,259207227.0,204207227.0
745,1154,PG,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.","['action', 'fantasy', 'family', 'comedy']",tm140391,tt3332064,5.7,63788.0,"['US', 'GB']",2015,111,,Pan,266647,24.494,6.0,MOVIE,150000000.0,128388320.0,-21611680.0
747,1225,PG-13,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"['thriller', 'action', 'scifi', 'drama']",tm140843,tt2140379,6.5,98837.0,['US'],2015,118,,Self/less,238615,24.941,6.407,MOVIE,26000000.0,31807156.0,5807156.0
748,843,PG-13,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","['thriller', 'drama', 'war']",tm140877,tt2084970,8.0,756254.0,"['GB', 'US']",2014,113,,The Imitation Game,205596,49.673,8.0,MOVIE,14000000.0,233555708.0,219555708.0
751,475,PG-13,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,"['drama', 'romance']",tm141117,tt0346723,6.5,15468.0,['IN'],2003,167,,Chalte Chalte,4252,6.121,6.2,MOVIE,4600000.0,18000000.0,13400000.0
